secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,rate
108105,20180920,64881510,SPX,9999,1,32768,,A,,1.758437
108105,20180921,64881510,SPX,9999,1,32768,,A,,1.751013
108105,20180924,64881510,SPX,9999,1,32768,,A,,1.748056
108105,20180925,64881510,SPX,9999,1,32768,,A,,1.742532
108105,20180926,64881510,SPX,9999,1,32768,,A,,1.737092
108105,20180927,64881510,SPX,9999,1,32768,,A,,1.731204
108105,20180928,64881510,SPX,9999,1,32768,,A,,1.731068
108105,20181001,64881510,SPX,9999,1,32768,,A,,1.710787
108105,20181002,64881510,SPX,9999,1,32768,,A,,1.707061
108105,20181003,64881510,SPX,9999,1,32768,,A,,1.70773
108105,20181004,64881510,SPX,9999,1,32768,,A,,1.711003
108105,20181005,64881510,SPX,9999,1,32768,,A,,1.709616
108105,20181008,64881510,SPX,9999,1,32768,,A,,1.705381
108105,20181009,64881510,SPX,9999,1,32768,,A,,1.704687
108105,20181010,64881510,SPX,9999,1,32768,,A,,1.708409
108105,20181011,64881510,SPX,9999,1,32768,,A,,1.71204
108105,20181012,64881510,SPX,9999,1,32768,,A,,1.726869
108105,20181015,64881510,SPX,9999,1,32768,,A,,1.734471
108105,20181016,64881510,SPX,9999,1,32768,,A,,1.739345
108105,20181017,64881510,SPX,9999,1,32768,,A,,1.743741
108105,20181018,64881510,SPX,9999,1,32768,,A,,1.729322
108105,20181019,64881510,SPX,9999,1,32768,,A,,1.73107
108105,20181022,64881510,SPX,9999,1,32768,,A,,1.74051
108105,20181023,64881510,SPX,9999,1,32768,,A,,1.740083
108105,20181024,64881510,SPX,9999,1,32768,,A,,1.731081
108105,20181025,64881510,SPX,9999,1,32768,,A,,1.740276
108105,20181026,64881510,SPX,9999,1,32768,,A,,1.69312
108105,20181029,64881510,SPX,9999,1,32768,,A,,1.680319
108105,20181030,64881510,SPX,9999,1,32768,,A,,1.68804
108105,20181031,64881510,SPX,9999,1,32768,,A,,1.690235
108105,20181101,64881510,SPX,9999,1,32768,,A,,1.67428
108105,20181102,64881510,SPX,9999,1,32768,,A,,1.670658
108105,20181105,64881510,SPX,9999,1,32768,,A,,1.671502
108105,20181106,64881510,SPX,9999,1,32768,,A,,1.673494
108105,20181107,64881510,SPX,9999,1,32768,,A,,1.674832
108105,20181108,64881510,SPX,9999,1,32768,,A,,1.672974
108105,20181109,64881510,SPX,9999,1,32768,,A,,1.676136
108105,20181112,64881510,SPX,9999,1,32768,,A,,1.670333
108105,20181113,64881510,SPX,9999,1,32768,,A,,1.674999
108105,20181114,64881510,SPX,9999,1,32768,,A,,1.677653
108105,20181115,64881510,SPX,9999,1,32768,,A,,1.664893
108105,20181116,64881510,SPX,9999,1,32768,,A,,1.66722
108105,20181119,64881510,SPX,9999,1,32768,,A,,1.659967
