secid,date,symbol,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,optionid,index_flag,issuer,exercise_style
108105,19960104,0A4EF.8D,19961221,,C,425000,198,199,0,8,,10809229,1,CBOE S&P 500 INDEX,E
108105,19960104,0A64A.C8,19960921,,P,625000,23.375,24.375,0,3355,0.13017,10898120,1,CBOE S&P 500 INDEX,E
108105,19960104,0A481.C6,19960316,,P,555000,1.5,1.75,0,151,0.181923,10781126,1,CBOE S&P 500 INDEX,E
108105,19960104,0A650.1C,19960316,19960104,C,640000,4.875,5.25,1955,2250,0.110893,10899484,1,CBOE S&P 500 INDEX,E
108105,19960104,0A689.FB,19970621,,C,525000,116.5,118.5,0,0,0.161682,10914299,1,CBOE S&P 500 INDEX,E
108105,19960104,0A68C.E3,19960120,19960104,C,635000,0.625,0.75,1627,6224,0.108615,10915043,1,CBOE S&P 500 INDEX,E
108105,19960104,0A620.07,19960120,19960104,P,580000,0.6875,0.875,4327,2029,0.220682,10887175,1,CBOE S&P 500 INDEX,E
108105,19960104,0A574.33,19960921,,C,675000,7.625,8.125,0,7632,0.110415,10843187,1,CBOE S&P 500 INDEX,E
108105,19960104,0A4C4.2F,19960316,,C,475000,142.5,143.5,0,315,,10798127,1,CBOE S&P 500 INDEX,E
108105,19960104,0A73B.2B,19970621,19960104,P,650000,40,40.25,5,23,0.127697,10959659,1,CBOE S&P 500 INDEX,E
108105,19960104,0A6C4.3F,19960217,19960104,P,590000,2.625,2.875,10,6496,0.151508,10929215,1,CBOE S&P 500 INDEX,E
108105,19960104,0A73B.E2,19960120,19960104,P,620000,6.875,7.125,2187,8563,0.128615,10959842,1,CBOE S&P 500 INDEX,E
108105,19960104,0A77A.B9,19960120,19960104,P,560000,0.1875,0.3125,100,7438,0.253956,10975929,1,CBOE S&P 500 INDEX,E
108105,19960104,0A4C6.52,19960921,,P,575000,9.5,10,0,3165,0.148641,10798674,1,CBOE S&P 500 INDEX,E
108105,19960104,0A86E.83,19960217,19960104,P,575000,1.5,1.75,220,1465,0.172568,11038339,1,CBOE S&P 500 INDEX,E
108105,19960104,0A78B.21,19960217,19960104,P,595000,3.125,3.625,1114,7956,0.145543,10980129,1,CBOE S&P 500 INDEX,E
108105,19960104,0A74D.E4,19970621,,C,500000,137.125,139.125,0,21,0.168654,10964452,1,CBOE S&P 500 INDEX,E
108105,19960104,0A7C6.5B,19960622,,P,675000,50.875,51.875,0,882,0.109785,10995291,1,CBOE S&P 500 INDEX,E
108105,19960104,0A7C7.1F,19960217,19960104,C,630000,4.625,5,20,2973,0.106124,10995487,1,CBOE S&P 500 INDEX,E
108105,19960104,0A753.12,19960622,19960104,P,525000,1.875,2.125,10,2939,0.174894,10965778,1,CBOE S&P 500 INDEX,E
108105,19960104,0A928.E5,19960217,19960104,C,635000,3.125,3.5,3,643,0.104782,11086053,1,CBOE S&P 500 INDEX,E
108105,19960104,0A87A.2A,19960316,19960104,C,630000,7,7.5,2,3095,0.101394,11041322,1,CBOE S&P 500 INDEX,E
108105,19960104,0A758.EB,19960120,19960104,C,560000,55.625,56.625,10,177,,10967275,1,CBOE S&P 500 INDEX,E
108105,19960104,0A79B.66,19960622,,P,570000,5.125,5.625,0,4525,0.147055,10984294,1,CBOE S&P 500 INDEX,E
108105,19960104,0A900.9A,19971220,,P,650000,43.125,44.125,0,0,0.136274,11075738,1,CBOE S&P 500 INDEX,E
108105,19960104,0A7A7.F9,19970621,,C,600000,59.875,61.875,0,1185,0.135776,10987513,1,CBOE S&P 500 INDEX,E
108105,19960104,0A888.90,19961221,,P,625000,25.75,26.25,0,1352,0.129698,11045008,1,CBOE S&P 500 INDEX,E
108105,19960104,0A764.EB,19960120,19960104,P,610000,3.625,4,2096,9604,0.151857,10970347,1,CBOE S&P 500 INDEX,E
108105,19960104,0A93B.59,19960120,,P,400000,0,0.0625,0,970,0.750045,11090777,1,CBOE S&P 500 INDEX,E
108105,19960104,0A8C8.64,19960921,,P,675000,51.25,52.25,0,766,0.116548,11061348,1,CBOE S&P 500 INDEX,E
108105,19960104,0A733.AC,19960316,,C,525000,93.375,94.375,0,6527,,10957740,1,CBOE S&P 500 INDEX,E
108105,19960104,0A904.79,19960316,,P,635000,20.25,21.25,0,7849,0.119365,11076729,1,CBOE S&P 500 INDEX,E
108105,19960104,0A9B6.6D,19960316,19960104,P,645000,27.25,28.25,100,100,0.117771,11122285,1,CBOE S&P 500 INDEX,E
108105,19960104,0A890.77,19961221,19960104,P,600000,18.5,20,3,3219,0.14457,11047031,1,CBOE S&P 500 INDEX,E
108105,19960104,0A855.E5,19960120,19960104,C,570000,45.625,46.625,30,448,,11032037,1,CBOE S&P 500 INDEX,E
108105,19960104,0A76C.7D,19970621,,P,675000,53,54,0,72,0.125298,10972285,1,CBOE S&P 500 INDEX,E
108105,19960104,0A9C0.32,19960622,,P,595000,9.375,9.875,0,687,0.133691,11124786,1,CBOE S&P 500 INDEX,E
108105,19960104,0A7EC.4F,19960120,,C,585000,31,32,0,8020,,11005007,1,CBOE S&P 500 INDEX,E
108105,19960104,0A912.CB,19961221,,P,675000,52,53,0,2,0.12074,11080395,1,CBOE S&P 500 INDEX,E
108105,19960104,0AA2D.58,19960120,,C,500000,115.375,116.375,0,4671,,11152728,1,CBOE S&P 500 INDEX,E
108105,19960104,0A915.9B,19960316,19960104,C,635000,5.25,5.75,250,1915,0.100572,11081115,1,CBOE S&P 500 INDEX,E
108105,19960104,0A9CD.C2,19960217,,P,650000,32,33,0,1101,0.143188,11128258,1,CBOE S&P 500 INDEX,E
108105,19960104,0A91D.16,19960316,19960104,P,595000,4.75,5.25,22,2449,0.137725,11083030,1,CBOE S&P 500 INDEX,E
108105,19960104,0A8E1.06,19960316,19960104,P,400000,0,0.0625,100,8063,0.338983,11067654,1,CBOE S&P 500 INDEX,E
108105,19960104,0AA70.B8,19960217,,C,645000,1.125,1.375,0,1737,0.099261,11169976,1,CBOE S&P 500 INDEX,E
108105,19960104,0A86A.FA,19960622,,C,580000,50.25,51.25,0,1275,0.130974,11037434,1,CBOE S&P 500 INDEX,E
108105,19960104,0A957.62,19960921,19960104,P,700000,70.5,71.5,500,900,0.111926,11097954,1,CBOE S&P 500 INDEX,E
108105,19960104,0AAB1.FF,19971220,,P,500000,4.875,9.875,0,0,0.165303,11186687,1,CBOE S&P 500 INDEX,E
108105,19960104,0A9DF.64,19960120,19960104,P,625000,9.25,9.5,2951,3951,0.113858,11132772,1,CBOE S&P 500 INDEX,E
108105,19960104,0A998.F3,19960622,19960104,P,375000,0.0625,0.125,10,2492,0.279691,11114739,1,CBOE S&P 500 INDEX,E
108105,19960104,0A961.78,19971220,,P,700000,67.25,68.25,0,0,0.125825,11100536,1,CBOE S&P 500 INDEX,E
108105,19960104,0AA07.52,19960316,19960104,P,610000,8.625,9,184,391,0.129125,11142994,1,CBOE S&P 500 INDEX,E
108105,19960104,0AB67.F1,19960217,19960104,P,610000,6.5,6.875,2999,1115,0.132337,11233265,1,CBOE S&P 500 INDEX,E
108105,19960104,0AA81.78,19960316,,C,585000,37.125,38.125,0,140,0.112642,11174264,1,CBOE S&P 500 INDEX,E
108105,19960104,0AC61.E0,19960217,,C,550000,67.375,68.375,0,1050,,11297248,1,CBOE S&P 500 INDEX,E
108105,19960104,0ABEE.AC,19960921,19960104,P,650000,35.5,36.5,100,1243,0.123179,11267756,1,CBOE S&P 500 INDEX,E
108105,19960104,0AA8B.E1,19961221,19960104,P,500000,3.625,4,15,4710,0.179736,11176929,1,CBOE S&P 500 INDEX,E
108105,19960104,0993A.AA,19970621,,P,525000,8.5,9.375,0,1522,0.167152,10042026,1,CBOE S&P 500 INDEX,E
108105,19960104,0AA90.0C,19960622,,C,450000,170.125,171.125,0,1911,,11177996,1,CBOE S&P 500 INDEX,E
108105,19960104,0ABF9.B8,19960120,,C,595000,21.5,22.5,0,2525,,11270584,1,CBOE S&P 500 INDEX,E
108105,19960104,09940.A6,19960316,19960104,P,575000,2.3125,2.6875,10,9699,0.154627,10043558,1,CBOE S&P 500 INDEX,E
108105,19960104,0AB81.C9,19960622,,P,450000,0.3125,0.5625,0,7775,0.22596,11239881,1,CBOE S&P 500 INDEX,E
